abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
denom.	6		268	0	0	268	en  ,     <LEND>     ¦ ( )    :     <LEND>     ¦ (denom. von       <div n="v">— Vgl.   . <LEND>     ¦ (  a	auf, die   oder   genannt werden,   <LEND>     ¦ (denom. von  ),  .    :     Partic. act.       u.s.w.    	erklärt wird. <div n="v">— Vgl.   . <LEND>     ¦ (denom. von   <div n="1"> 1)  :        :              :  
infin.	6		267	0	0	267	:         <div n="1">— 2)   ( :  ):               infin.:     <div n="1">— 3) partic.  ; <div n="2"> a)  :	                                  (dat. von   als infin.)                       (gen. pl.)                	rm   findet sich in einem Citat aus einem         infin.   und         pass.  :                         pa
superl.	7		264	0	0	264	en. pl. von  )      , N. eines  ,   <LEND>     ¦ (superl. von  )        , d. h.  ; so heisst besonders  ,  	  <LEND>     ¦ (von  )    :   —     <LEND>     ¦ (superl. von  )  :      :   ?( )     (Gegens.       <LEND>	                       u.s.w. Im Verein mit einem superl. und mit    :                        :            
absol.	6		263	1	0	262	  ,  . 4.                                         absol.:   ( )     ( )   <div n="1">— 2)   (gen.)  :     	:   ( )     ( )   <div n="1">— 2)   (gen.)  :     absol.                             <div n="1">— 3)      	 ( )         geht im comp. voran:                 absol.   =         (=  ).     (Gegens.  ).       (Gegens
impers.	7		257	0	0	257	         <div n="1">— 2)  :                       impers.:               [Page1-0538] <div n="p">—  ,    , 	                                            pass. impers.:       mit dem acc. statt des gebräuchlicheren lo	, wo   gelesen wird)         (bis Mittag)   pass. impers.:         partic.         ( , sc.  ).             
Erkl.	5		250	0	0	250	 2)  :     Vgl.   . <LEND>     ¦ (von  )    ; zur Erkl. von     <LEND>     ¦ ( )    ,   <div n="v">— Vgl.	 mit  )     oder   (Gegens.  )     ( )       (zur Erkl. von  )   zu      ,     <LEND>     ¦ (wie eben)   	 (3.  )    :     =   <LEND>     ¦ (3.  )    , zur Erkl. von       <LEND>     ¦ (3.  )    :           <LEN
Cit.	4		244	0	1	243	]   <div n="2">— c)   ( )   <div n="2">— d)       Cit. beim   zu   <div n="2">— e) =     <div n="1">— 2)	               (so ist mit der   zu lesen)   ved. Cit. beim   zu       <div n="2">— b) nämlich  ,    :  	t  )               <LEND>     ¦ (wie eben)    :   Cit. bei   zu   <LEND>     ¦ (wie eben)   <div n="1"> 
simpl.	6		243	0	0	243	 erklärt   durch   und   durch   Vgl. noch u. dem simpl., u.   und u.   . <div n="1">— 2)  :              	 )   <div n="1">— 3)  :      ; vgl. das caus. des simpl. u. 4. <div n="1">— 4)  :       (auch gen. und loc	   ved.     klass.   mit dem inf.   Bis jetzt vom simpl. nur das praes. und der inf.   (  ) zu belegen.   
fut.	4		242	0	0	242	.  )    ; vom Stier:     <LEND>     ¦ (3.   part. fut. pass. von  )     Attribut des     des    ; vor al	    ¦ (abl. von  ) adv.  ; bei einem praes.       fut.         :     imperf.   <div n="v">— Vgl.   . <LE	s.     perf.       part. praet. pass.   potent.   fut.   <div n="v">— Vgl.   . <LEND>     ¦     (nach  )
vulg.	5		241	0	0	241	 <div n="1">— 2) N. einer andern Pflanze,  , =   (vulg.:  )   im   <LEND>     ¦   voc.   ved.,   klass.  	im   <LEND>     ¦ ( )   N. einer Pflanze,  , =   (vulg.     im   <LEND>     ¦ ( )   N. einer Pflanze,  , 	   im   <LEND>     ¦ ( )   N. einer Pflanze, =   (vulg.  )   im   <LEND>     ¦ ( )     ( )   im   <LEND> 
compar.	7		229	0	0	229	 ( )   N. pr. eines        ; vgl.   <LEND>     ¦ (compar. von  )  :                                        	ge)           =           In Verbindung mit einem compar.:           Mit                                   	 <LEND>     ¦ ( )       im   <LEND>     ¦ (von  , compar. von  ) <div n="1"> 1) adv. <div n="2"> a)  :     
s. d.	5		233	0	5	228	    Diese Bedeutung hat das Wort auch im Comp.   (s. d. folgenden Artikel); sonst erscheint im   immer nu	n="2">— b) Name eines fabelhaften Steines, des   (s. d.), ebend. <div n="1">— 3)     Name einer Pflanze =	   ¦ ( )   Name eines fabelhaften Steines, des   (s. d.)   im   <LEND>     ¦ (von  )  ,  ,     <div n="1"
voc.	4		230	1	3	226	  ¦ ( )   =     <LEND>     ¦ (von  )    ; nur der voc.   zu belegen, häufig von                       u.	     <LEND>     ¦ ( )    , von der Morgenröthe   (voc.) <LEND>     ¦ ( )       im   ; vgl.   . <LEND>   	        <LEND>     ¦ (3.  )   dass., von   und   (voc.):     <LEND>     ¦ (3.  )    :               adv.
praes.	6		222	0	2	220	 einer Pflanze,     im   <LEND>     ¦ (3.   part. praes. von  )    :     <LEND>     ¦ (3.   part. praes. p	. praes. von  )    :     <LEND>     ¦ (3.   part. praes. pass. von       . <LEND>     ¦ (3.  ) <div n="1">	  ¦ ( )   sg.        ,   <LEND>     ¦ (3.   part. praes. von    )    :     <LEND>     ¦ ( )       <LEND>  
metron.	7		214	0	0	214	 zu   <LEND>     ¦ ( )     oder     <LEND>     ¦ (metron. von  )   N. pr.       <LEND>     ¦   von       zu	.    ; davon      .  ,     f.    ,   <LEND>     ¦ metron. von       zu   ein Bein.             <div n="v">—	   <LEND>    1.  ¦ von       zu   <LEND>    2.  ¦ metron. von       zu   Davon         zu   <LEND>     ¦ (v
u. d.	5		215	0	1	214	ch  ; s.  , Erläut. z.   Anm. Ein wirkliches   s. u. d. W. Als oxytonon erscheint das Wort   (wenn man si	int dieses durch   verdrängt worden zu sein. Vgl. u. d. Wurzeln   u. s. w. und die mit   anlautenden Zusa	schreiben pflegt, weil man sie von   ableitet; s. u. d. Ww. <div n="1">— 4)  :         — caus.  :     par
eben.	5		232	0	19	213	 mit der Variante   wird in den   zu     zugeschrieben.   im   :   <LEND>     ¦ ( )    :       <LEND>    	dieses Spruches mit der Variante   den   zugeschrieben. <div n="1">— 2)  :     <div n="1">— 3)  :     <LE	r Entstehung der   bei der Quirlung des Oceans gegeben. <div n="1">— 2)   . Dieses würde aber nicht   hei
Ausgg.	6		205	0	1	204	n="1"> 1)    :     <div n="1">— 2)    :     Beide Ausgg.:  , was   berichtigt hat. <LEND>     ¦ (wie eben)	   :     Wohl nur fehlerhaft für  , wie in beiden Ausgg. des R. gelesen wird. <div n="p">—   <div n="1"> 1	     ¦       und   nach  , wo aber die gedruckten Ausgg.   (von   als v.l. erwähnt) lesen. <LEND>     ¦ ( 
masc.	5		210	0	7	203	 häufigen Gebrauches dieses Wortes lässt sich das masc. nicht weiter belegen. In der  -Literatur bezeichn	ewahrt, auch auf ein fem. bezogen, die Endung des masc.; das zweite   dagegen wird movirt und nimmt ausna	von   mit  )   <div n="1"> 1)         ( :   (also masc.!)  .      <div n="1">— 2)  :       =     <LEND>  
dd.	3	Y	204	0	5	199	   -              wobei wie auch sonst im   die Bedd. vermengt werden.     ( :  ). <div n="1">— 2)   (a	  , in der Bed.     :   .   im   kennt folgende Bedd.: <div n="1"> 1)  , <div n="1"> 2)  , <div n="1"> 	( )   <LEND>     ¦ (wie eben)     in:   und   (s. dd.). Vgl. 1.   1. <LEND>     ¦ (wie eben) <div n="1"
erg.	4		208	0	10	198	angeh. neg.  ) und   . <LEND>     ¦ (2.  )   pl. (erg.  )  :     <div n="v">— Vgl.   . <LEND>     ¦ s.  	m Ende eines   comp.       :   . <div n="2">— b) (erg.  )  :     <div n="2">— c)         <LEND>    2.  ¦	   mit  )    :         <LEND>     ¦ (dat. vom vorherg.) ( , mit dem gen.:       ?    (Var. zu  ). <LEND>
vorherg.	8		192	0	0	192	(von   mit  )    :         <LEND>     ¦ (dat. vom vorherg.) ( , mit dem gen.:       ?    (Var. zu  ). <LEND>	 Stelle. <LEND>     ¦ (3.   [von  )    , Var. des vorherg.   ?=   <LEND>    1.  ¦ (3.  )       <LEND>    2. 	<LEND>     ¦ (3.  )   =   v. l. der   zu   (s. d. vorherg. Art.). <LEND>     ¦ (3.  )   dass. v.l. des   <LE
proparox.	9		191	1	0	190	rer mit dem Bein.           Schüler des     (hier proparox.) =     Vater von     Sohn     zu   Vgl.   . — ein	nes comp. =       <LEND>     ¦ (von  ) oxyt.    , proparox. =       .   N. pr. eines Mannes             die G	 (  ist für   vielleicht   zu lesen, da jene Form proparox. sein müsste)       <div n="1"> 1)                
Bedd.	5		189	1	0	188	g    -              wobei wie auch sonst im   die Bedd. vermengt werden.     ( :  ). <div n="1">— 2)   (a	 :  , in der Bed.     :   .   im   kennt folgende Bedd.: <div n="1"> 1)  , <div n="1"> 2)  , <div n="1"> 	 einer Pflanze,   ( ),       im   hat noch folgg. Bedd.:    ,    ;   ebend.:   (s. d.)  ;   beim   zu   :
W.	2	Y	382	0	198	184	s.  , Erläut. z.   Anm. Ein wirkliches   s. u. d. W. Als oxytonon erscheint das Wort   (wenn man sich 	       =     <LEND>     ¦ ( )       u.  ; vgl. d. W. <LEND>     ¦ (von   mit  )   <div n="1"> 1)  :   	d die 9 Feinde    ,   <div n="v">— Vgl. das folg. W. <LEND>     ¦ ( )   dass.   <LEND>     ¦ ( ) <div 
Anf.	4		201	0	19	182	  (vgl.  ). Häufig steht   scheinbar adjectiv. am Anf. einer Zus.; vgl.   . <div n="1">— 2)             	1"> 1)     (von der Zeit):          ; vgl.   . Am Anf. eines comp. vor einem partic.:  :                	div n="v">— Vgl.   . <LEND>     ¦    ;         am Anf. eines comp. als Ausdruck der     <div n="v">— Vgl
trans.	6		183	0	2	181	)  :               med.:     <div n="1">— 2)   (intrans.),  :     <div n="p">—    :    ,   <div n="p">—   	 acc. des Ziels:               <div n="1">— 2)   (trans.):   (vgl.  )                 <div n="p">—    :   	acc.)  :               zu       <div n="1">— 4) intrans.         <div n="1">— 5)  :     in der Gramm.  :  
aor.	4		173	0	0	173	t.     3. aus   zu      ,                         aor. fehlt       part. praet. pass.   nur in subst. Be	 sein. imperf.     potent.    ,   perf.           aor.             ibid. aor. med.  ; conj. 3. sg.  ; fu	nt.    ,   perf.           aor.             ibid. aor. med.  ; conj. 3. sg.  ; fut.  ; prec.         ger
buddh.	6		179	0	8	171	 Bedeutung         geschlossen worden sein).     (buddh.)   <div n="1">— 5)  :     <div n="1">— 6)     <di	 8)   (?):           <LEND>     ¦ (von  )    :   (buddh.)   — Falsche Form für   . <LEND>     ¦ (von   mit	 <LEND>     ¦ (von  )       <LEND>     ¦ ( )     (buddh.)   <LEND>     ¦ ( )   N. eines zum   gehörigen  ,
Sch.	4		7086	2	6914	170	(das Gebiet um  ), meistens pl.       (sg.).    , Sch.  , Sch. 125, Sch.                       Vgl.   <d	iet um  ), meistens pl.       (sg.).    , Sch.  , Sch. 125, Sch.                       Vgl.   <div n="1"	 meistens pl.       (sg.).    , Sch.  , Sch. 125, Sch.                       Vgl.   <div n="1">— 2) N. p
perf.	5		168	0	0	168	v.  ; bei einem praes.       fut.         :     imperf.   <div n="v">— Vgl.   . <LEND>     ¦ ( ) <div n="	    ¦ (instr. von  ) adv.  ; bei einem praes.     perf.       part. praet. pass.   potent.   fut.   <div 	D>     ¦ (3.  )    :     <LEND>     ¦ (3.   part. perf. act. von  )    :     <LEND>     ¦ ( )       <LEND
Hdschr.	7		189	0	22	167	a   zu lesen?)     <LEND>     ¦ (wie eben)    :   Hdschr.)     zu   <LEND>     ¦ (wie eben)   <div n="1"> 1	                 heisst das 14te   zum           (Hdschr.)                   Am Ende eines   comp.         	    <div n="1">— 3)  :     — desid.  :       (die Hdschr.:  ).   Vgl.   . <div n="p">—   <div n="1"> 1)   (
part.	5		168	1	1	166	Name eines der   des 4ten  ,   <LEND>     ¦ (3.   part. praet. pass. von  ) <div n="1"> 1)    :     <div 	   Name eines   — Lehrers   <LEND>     ¦ (  [3.   part. praet. pass. von  )       ( ). <LEND>     ¦ (3.  	END>     ¦       im   Voc.:    ,     <LEND>     ¦ part. praet. pass. von   und   . <LEND>     ¦ (das subs
praet.	6		167	0	1	166	t dem Infinitiv:             oder     Das Partic. praet. pass. verbindet sich mit der verneinten Form dess	ines der   des 4ten  ,   <LEND>     ¦ (3.   part. praet. pass. von  ) <div n="1"> 1)    :     <div n="1">—	e eines   — Lehrers   <LEND>     ¦ (  [3.   part. praet. pass. von  )       ( ). <LEND>     ¦ (3.  )    : 
Conj.	5		160	0	0	160	                act.:         pass.:   nach einer Conj. von   zu lesen       oder  :                     	.   . <div n="p">—  , ˚  und    :         zu     (Conj. für     <div n="v">— Vgl.   . <div n="p">—    :  	  allein von einem   Elephanten gebraucht:       (Conj.). in der Stelle     bedeutet aber   nicht  , sond
suff.	5		160	0	0	160	 <div n="1"> 1)                 ( : =  )     (das suff. gehört zum ganzen comp.)   <div n="1">— 2)   N. p	nes compositum:   ( ) —   ( )   Das patronymische suff.   gehört ursprünglich wohl auch hierher. <div n="	Wort auf   und Wurzel   zurück. Vielleicht von  , suff.  ,  :           <LEND>     ¦ ( ) <div n="1"> 1)  
Calc. Ausg.	11		156	0	2	154	      <F>*   führt bei     als Autorität auf; die Calc. Ausg. des   liest aber   und   kommt auch bei   als Bez	 Adjectiv zu fassen genöthigt sind (  ist mit der Calc. Ausg.   st.   zu lesen), möchten wir die Vermuthung aus	s,   zu   <LEND>     ¦ ( )    , ein Beiname  ,   (Calc. Ausg. und    ,   wie wir). <LEND>     ¦ ( )    , die   
Hdschrr.	8		150	0	2	148	)                               —   und  , wo die Hdschrr.   (voc.) haben, ist, wie das Metrum zeigt, ebenfa	 <div n="p">—    :       <div n="p">—    :   (die Hdschrr.:   und  )   <div n="p">—   <div n="1"> 1)  :     	 <LEND>     ¦        :     im   <LEND>     ¦ (die Hdschrr. lassen öfters zweifelhaft, ob so oder   zu lesen 
Unterschrr.	11		144	0	0	144	 (von   im caus. mit  )    :         und   in den Unterschrr.        :     <LEND>     ¦ (von   mit  )     ( )  	 abstr.     <LEND>     ¦ (vom folg.)       in den Unterschrr. der  . <LEND>     ¦ ( )       <LEND>     ¦ ( ) <d	pricht)     <LEND>     ¦ (vom folg.)       in den Unterschrr. der  . <LEND>     ¦ ( )    ; davon       R. in de
decl.	5		142	0	0	142	  <div n="p">—   caus.  :    -  <LEND>    1.  ¦ indecl.     . <div n="1"> 1) eine Partikel mit versichern	    :     <div n="p">—    :     <LEND>    2.  ¦ indecl.    ; es ist wohl das   in   gemeint. <LEND>     ¦	s auf eine ursprünglichere Form   unterstützen) indecl.     und   . <div n="1"> 1)  :       u. s. w.     
Viell.	6		141	0	0	141	   ein verb.  ; nach   bedeutet    , nach       — Viell. desider. von 3.  ; vgl. auch   . <div n="p">—    	( )       [Page1-1033] <div n="1">— 2)  :         Viell. caus. wie auch oben. u. 1.   . <div n="v">— Vgl. 	zu lesen; vgl. d. folg. W. <LEND>     ¦         — Viell.   zu lesen. <LEND>     ¦ so. v. a.     <div n="v"
indecl.	7		139	0	0	139	    <div n="p">—   caus.  :    -  <LEND>    1.  ¦ indecl.     . <div n="1"> 1) eine Partikel mit versichern	>—    :     <div n="p">—    :     <LEND>    2.  ¦ indecl.    ; es ist wohl das   in   gemeint. <LEND>     ¦	uss auf eine ursprünglichere Form   unterstützen) indecl.     und   . <div n="1"> 1)  :       u. s. w.     
diess.	6		133	0	0	133	<div n="1">— 2)     ( )       <div n="1">— 3)     diess. <div n="1">— 4)  ,     n.     <div n="1">— 5)    	2)  :     <div n="1">— 3)       <div n="1">— 4)   diess. <LEND>     ¦ (wie eben)   <div n="1"> 1)         	)   (?)   <div n="1">— 3)       <div n="1">— 4)   diess. Vgl.   . <LEND>     ¦ (von  )   <div n="1"> 1)   
compp.	6		131	0	0	131	om  )                 <div n="v">— Vgl. die folg. compp. <LEND>     ¦ ( )    :     <LEND>     ¦ ( )    ,  	  Am Ende eines adverb. comp.      , auch anderer compp.   Vgl.   und   . <div n="1">— 2)   ( )   im   <di	d acc. neutr. von  ) erscheint am Anfange einiger compp.  ,   <LEND>     ¦     <LEND>     ¦ (von  ) adv.  
personif.	9		132	0	7	125	">— c)      , <div n="1">— 2)   <div n="2"> a)  , personif.                                     ein Sohn der 	     Offenbar ein Fehler für   . <div n="1">— 12) personif. ein Sohn     in   — Vielleicht von  , also:   <LE	D>     ¦ (3.  )   nom.   . <div n="1"> 1)  , auch personif.                 <div n="1">— 2)     zu   <LEND>  
subj.	5		117	0	0	117	1:     mit dem obj. componirt, s. u.   1; mit dem subj.:         <LEND>     ¦ (von 1.  )        :    ,   	7. 79,6.) geht im comp. voran                 Das subj. im gen.:     geht im comp. voran:       das obj. 	elle aus einem medic. Werke citirt:   (wohl   das subj.)   . <LEND>     ¦ (von 3.  )       <LEND>     ¦ (
St.	3	Y	6472	0	6365	107	          In der Bedeutung   erscheint   an folg. St.:               [Page1-0037]             (die Gött	name  :    ; vgl.   . <div n="2">— e)       zu d. St. :   <div n="1">— 2)         <div n="v">— Vgl. übe	 Bedeutung   zugeschrieben; aus   Bemerkung zu d. St. geht hervor, dass man dieselbe in dem Texte   ges
d. W.	5		143	0	40	103	 ; s.  , Erläut. z.   Anm. Ein wirkliches   s. u. d. W. Als oxytonon erscheint das Wort   (wenn man sich 	          =     <LEND>     ¦ ( )       u.  ; vgl. d. W. <LEND>     ¦ (von   mit  )   <div n="1"> 1)  :   	n 3.  )       (ein best. dämonisches Wesen; s. u. d. W.); ursprünglich wohl nur eine Var. des vorhergehen
ind.	4		166	0	66	100	    <div n="3">— γ)  :     <div n="3">— δ) in den ind. Wörterb. =             <div n="3">— ε)   (s. u. b	 bei der gewöhnlichen Erklärung stehen geblieben sind. Vgl. noch   . <div n="1">— 2) N. eines     — Die 	  ,   Diese und die folgende Bedeutung fassen die ind. Lexicographen und Grammatiker (          ) zusamm
inf.	4		97	0	1	96	  med.:         <div n="p">—    :           (dat. inf.)     <div n="p">—    :     <div n="p">—   <div n=	.)  :                                     mit dem inf.:       act.:                       pass.:        	D>     ¦,   (ep. auch   ved.     klass.   mit dem inf.   Bis jetzt vom simpl. nur das praes. und der inf
onomatop.	9		96	1	0	95	pr. einer Gegend   im   <LEND>     ¦   vielleicht onomatop. vom Geschrei eines Vogels: ( )     <LEND>     ¦ s	buchs des Diebstahls. <LEND>     ¦ ( , loc. von   onomatop.)    )     zu   und   zu   <div n="v">— Vgl.   . <	 ;       im     zu   im   (unter  ). <LEND>     ¦ onomatop., gebraucht in einer Anrufung:       (      <LEND>
praep.	6		94	0	2	92	      <div n="2">— b)             <div n="1">— 2) praep.  , mit dem gen.:                   am Ende eines 	m   ist   in   übergegangen; s.   <LEND>    2.  ¦ praep. erscheint im   in Uebereinstimmung mit der Regel 	 :   in prädicativem Verhältniss. <div n="1">— 2) praep. <div n="2"> a)   im Raume, in der Zeit, an Zahl, 
intrans.	8		92	1	0	91	 1)  :               med.:     <div n="1">— 2)   (intrans.),  :     <div n="p">—    :    ,   <div n="p">—   	 (acc.)  :               zu       <div n="1">— 4) intrans.         <div n="1">— 5)  :     in der Gramm.  :  	      in   <div n="1">— 3)  :     <div n="1">— 4) intrans.  ; part.    :         ( )               <div n="p
